locus_tag	ftype	length_bp	gene	EC_number	COG	product
GIMCKJCG_00001	CDS	291	dnaN			Beta sliding clamp
GIMCKJCG_00002	CDS	234	ybcJ		COG2501	putative protein YbcJ
GIMCKJCG_00003	CDS	1101	recF_1		COG1195	DNA replication and repair protein RecF
GIMCKJCG_00004	CDS	903				hypothetical protein
GIMCKJCG_00005	CDS	249				hypothetical protein
GIMCKJCG_00006	CDS	1902	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
GIMCKJCG_00007	CDS	1482	lysP		COG0833	Lysine-specific permease
GIMCKJCG_00008	CDS	318				hypothetical protein
GIMCKJCG_00009	CDS	3063	mdtC			Multidrug resistance protein MdtC
GIMCKJCG_00010	CDS	1065	macA_1		COG0845	Macrolide export protein MacA
GIMCKJCG_00011	CDS	1356				hypothetical protein
GIMCKJCG_00012	CDS	1113				hypothetical protein
GIMCKJCG_00013	CDS	600				hypothetical protein
GIMCKJCG_00014	CDS	1122				hypothetical protein
GIMCKJCG_00015	CDS	1662				hypothetical protein
GIMCKJCG_00016	CDS	819	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
GIMCKJCG_00017	CDS	2013	ltaS1		COG1368	Lipoteichoic acid synthase 1
GIMCKJCG_00018	CDS	1053				hypothetical protein
GIMCKJCG_00019	CDS	759				hypothetical protein
GIMCKJCG_00020	CDS	939			COG2990	putative protein
GIMCKJCG_00021	CDS	1143				hypothetical protein
GIMCKJCG_00022	CDS	1134				hypothetical protein
GIMCKJCG_00023	CDS	1437	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
GIMCKJCG_00024	CDS	1095	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
GIMCKJCG_00025	CDS	1002				hypothetical protein
GIMCKJCG_00026	CDS	1617				hypothetical protein
GIMCKJCG_00027	CDS	762				hypothetical protein
GIMCKJCG_00028	CDS	1092	epsF	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
GIMCKJCG_00029	CDS	1002				hypothetical protein
GIMCKJCG_00030	CDS	795				hypothetical protein
GIMCKJCG_00031	CDS	720	tarI_1	2.7.7.40		Ribitol-5-phosphate cytidylyltransferase
GIMCKJCG_00032	CDS	1509				hypothetical protein
GIMCKJCG_00033	CDS	921		5.1.3.2	COG1088	UDP-glucose 4-epimerase
GIMCKJCG_00034	CDS	1056	rfbB_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
GIMCKJCG_00035	CDS	402				hypothetical protein
GIMCKJCG_00036	CDS	534				hypothetical protein
GIMCKJCG_00037	CDS	1209				hypothetical protein
GIMCKJCG_00038	CDS	327				hypothetical protein
GIMCKJCG_00039	CDS	102				hypothetical protein
GIMCKJCG_00040	CDS	2256	prn_1		COG3468	Pertactin autotransporter
GIMCKJCG_00041	CDS	2439	prn_2		COG3468	Pertactin autotransporter
GIMCKJCG_00042	CDS	543				hypothetical protein
GIMCKJCG_00043	CDS	273				hypothetical protein
GIMCKJCG_00044	CDS	8454	upaG_1			Autotransporter adhesin UpaG
GIMCKJCG_00045	CDS	582				hypothetical protein
GIMCKJCG_00046	CDS	1425	btaE			Autotransporter adhesin BtaE
GIMCKJCG_00047	CDS	1062				hypothetical protein
GIMCKJCG_00048	CDS	2985	omp-alpha			Outer membrane protein alpha
