locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCNBLBAO_00001	CDS	1428	dnaA			Chromosomal replication initiator protein DnaA
GCNBLBAO_00002	CDS	1113	dnaN			Beta sliding clamp
GCNBLBAO_00003	CDS	234	ybcJ		COG2501	putative protein YbcJ
GCNBLBAO_00004	CDS	1101	recF_1		COG1195	DNA replication and repair protein RecF
GCNBLBAO_00005	CDS	903				hypothetical protein
GCNBLBAO_00006	CDS	294				hypothetical protein
GCNBLBAO_00007	CDS	249				hypothetical protein
GCNBLBAO_00008	CDS	1902	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
GCNBLBAO_00009	CDS	1482	lysP		COG0833	Lysine-specific permease
GCNBLBAO_00010	CDS	318				hypothetical protein
GCNBLBAO_00011	CDS	3063	czcA			Cobalt-zinc-cadmium resistance protein CzcA
GCNBLBAO_00012	CDS	1065	macA_1		COG0845	Macrolide export protein MacA
GCNBLBAO_00013	CDS	1365				hypothetical protein
GCNBLBAO_00014	CDS	600				hypothetical protein
GCNBLBAO_00015	CDS	1056				hypothetical protein
GCNBLBAO_00016	CDS	1980				hypothetical protein
GCNBLBAO_00017	CDS	756				hypothetical protein
GCNBLBAO_00018	CDS	2022	ltaS1		COG1368	Lipoteichoic acid synthase 1
GCNBLBAO_00019	CDS	1086	pimA	2.4.1.345	COG0438	Phosphatidyl-myo-inositol mannosyltransferase
GCNBLBAO_00020	CDS	945			COG2990	putative protein
GCNBLBAO_00021	CDS	1200				hypothetical protein
GCNBLBAO_00022	CDS	1437	gumD	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
GCNBLBAO_00023	CDS	1098	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
GCNBLBAO_00024	CDS	759				hypothetical protein
GCNBLBAO_00025	CDS	855				hypothetical protein
GCNBLBAO_00026	CDS	1077		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
GCNBLBAO_00027	CDS	1335	tarD	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
GCNBLBAO_00028	CDS	816				hypothetical protein
GCNBLBAO_00029	CDS	954	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
GCNBLBAO_00030	CDS	1245	rfbX		COG2244	Putative O-antigen transporter
GCNBLBAO_00031	CDS	1560				hypothetical protein
GCNBLBAO_00032	CDS	411				hypothetical protein
GCNBLBAO_00033	CDS	327				hypothetical protein
GCNBLBAO_00034	CDS	102				hypothetical protein
GCNBLBAO_00035	CDS	2238	prn_1		COG3468	Pertactin autotransporter
GCNBLBAO_00036	CDS	2349	prn_2		COG3468	Pertactin autotransporter
GCNBLBAO_00037	CDS	552				hypothetical protein
GCNBLBAO_00038	CDS	1380	btaE_1			Autotransporter adhesin BtaE
GCNBLBAO_00039	CDS	288				hypothetical protein
GCNBLBAO_00040	CDS	1062				hypothetical protein
GCNBLBAO_00041	CDS	2772	omp-alpha			Outer membrane protein alpha
GCNBLBAO_00042	CDS	1566			COG0500	putative protein RP789
GCNBLBAO_00043	CDS	285	sadA		COG5295	Autotransporter adhesin SadA
GCNBLBAO_00044	CDS	8337	ehaG_1		COG5295	Autotransporter adhesin EhaG
GCNBLBAO_00045	CDS	789				hypothetical protein
GCNBLBAO_00046	CDS	10596	upaG_1			Autotransporter adhesin UpaG
GCNBLBAO_00047	CDS	801				hypothetical protein
GCNBLBAO_00048	rRNA	1560				16S ribosomal RNA
GCNBLBAO_00049	rRNA	2928				23S ribosomal RNA
GCNBLBAO_00050	rRNA	109				5S ribosomal RNA
GCNBLBAO_00051	CDS	288				hypothetical protein
GCNBLBAO_00052	CDS	276				hypothetical protein
GCNBLBAO_00053	CDS	375				hypothetical protein
GCNBLBAO_00054	CDS	372				hypothetical protein
GCNBLBAO_00055	CDS	1290	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
GCNBLBAO_00056	CDS	1317	aspC_1	2.6.1.1	COG0436	Aspartate aminotransferase
GCNBLBAO_00057	CDS	270				hypothetical protein
GCNBLBAO_00058	CDS	318				hypothetical protein
GCNBLBAO_00059	CDS	489				hypothetical protein
GCNBLBAO_00060	CDS	1308		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
GCNBLBAO_00061	CDS	279	fixX		COG2440	Ferredoxin-like protein FixX
GCNBLBAO_00062	CDS	987	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
GCNBLBAO_00063	CDS	1002	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
GCNBLBAO_00064	CDS	759	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
GCNBLBAO_00065	CDS	603				hypothetical protein
GCNBLBAO_00066	CDS	594				hypothetical protein
GCNBLBAO_00067	CDS	951	nikB		COG0601	Nickel transport system permease protein NikB
GCNBLBAO_00068	CDS	810	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
GCNBLBAO_00069	CDS	1524	ddpA_1		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
GCNBLBAO_00070	CDS	768	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
GCNBLBAO_00071	CDS	741	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
GCNBLBAO_00072	CDS	495				hypothetical protein
GCNBLBAO_00073	CDS	993				hypothetical protein
GCNBLBAO_00074	CDS	474				hypothetical protein
GCNBLBAO_00075	CDS	939				hypothetical protein
GCNBLBAO_00076	CDS	273	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
GCNBLBAO_00077	CDS	282				hypothetical protein
GCNBLBAO_00078	CDS	633				hypothetical protein
GCNBLBAO_00079	CDS	408				hypothetical protein
GCNBLBAO_00080	CDS	561				hypothetical protein
GCNBLBAO_00081	CDS	1209				hypothetical protein
GCNBLBAO_00082	CDS	516				hypothetical protein
GCNBLBAO_00083	CDS	1539	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
GCNBLBAO_00084	CDS	1260	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
GCNBLBAO_00085	CDS	492	DmdB	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
GCNBLBAO_00086	CDS	1071	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
GCNBLBAO_00087	CDS	330	qacC			Quaternary ammonium compound-resistance protein QacC
GCNBLBAO_00088	CDS	540	niaX			Niacin transporter NiaX
GCNBLBAO_00089	CDS	1188	norV_1		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
GCNBLBAO_00090	CDS	1956	ehaG_2		COG5295	Autotransporter adhesin EhaG
GCNBLBAO_00091	CDS	486	ytmI_1	2.3.1.-		putative N-acetyltransferase YtmI
GCNBLBAO_00092	CDS	750				hypothetical protein
GCNBLBAO_00093	CDS	930				hypothetical protein
GCNBLBAO_00094	CDS	654	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
GCNBLBAO_00095	CDS	1329	slpA_1			S-layer protein SlpA
GCNBLBAO_00096	CDS	1116	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
GCNBLBAO_00097	CDS	1407				hypothetical protein
GCNBLBAO_00098	CDS	840	tcyK		COG0834	L-cystine-binding protein TcyK
GCNBLBAO_00099	CDS	717	yxeN_1			putative amino-acid permease protein YxeN
GCNBLBAO_00100	CDS	717	yxeN_2			putative amino-acid permease protein YxeN
GCNBLBAO_00101	CDS	774	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
GCNBLBAO_00102	CDS	483	ytmI_2	2.3.1.-		putative N-acetyltransferase YtmI
GCNBLBAO_00103	CDS	399				hypothetical protein
GCNBLBAO_00104	CDS	903	rbsB		COG1879	Ribose import binding protein RbsB
GCNBLBAO_00105	CDS	936	rbsC		COG1172	Ribose import permease protein RbsC
GCNBLBAO_00106	CDS	1482	rbsA	3.6.3.17	COG1129	Ribose import ATP-binding protein RbsA
GCNBLBAO_00107	CDS	414	rbsD	5.4.99.62	COG1869	D-ribose pyranase
GCNBLBAO_00108	CDS	888	rbsK	2.7.1.15	COG0524	Ribokinase
GCNBLBAO_00109	CDS	327				hypothetical protein
GCNBLBAO_00110	CDS	282				hypothetical protein
GCNBLBAO_00111	CDS	657				hypothetical protein
GCNBLBAO_00112	CDS	246				hypothetical protein
GCNBLBAO_00113	CDS	321				hypothetical protein
GCNBLBAO_00114	CDS	1626	ecfA1_1	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
GCNBLBAO_00115	CDS	813	ecfA2_1	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
GCNBLBAO_00116	CDS	669	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
GCNBLBAO_00117	CDS	501	yncA	2.3.1.-	COG1247	L-methionine sulfoximine/L-methionine sulfone acetyltransferase
GCNBLBAO_00118	CDS	864	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
GCNBLBAO_00119	CDS	402				hypothetical protein
GCNBLBAO_00120	CDS	1602	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
GCNBLBAO_00121	CDS	1278	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
GCNBLBAO_00122	CDS	591	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
