locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIJPFOIH_00001	CDS	1701	srpC			Solvent efflux pump outer membrane protein SrpC
KIJPFOIH_00002	CDS	279				hypothetical protein
KIJPFOIH_00003	tRNA	77				tRNA-Arg(acg)
KIJPFOIH_00004	tRNA	76				tRNA-Trp(cca)
KIJPFOIH_00005	rRNA	110				5S ribosomal RNA
KIJPFOIH_00006	rRNA	2928				23S ribosomal RNA
KIJPFOIH_00007	tRNA	76				tRNA-Ala(tgc)
KIJPFOIH_00008	tRNA	77				tRNA-Ile(gat)
KIJPFOIH_00009	rRNA	1560				16S ribosomal RNA
KIJPFOIH_00010	tRNA	76				tRNA-Lys(ttt)
KIJPFOIH_00011	tRNA	75				tRNA-Gln(ttg)
KIJPFOIH_00012	tRNA	76				tRNA-His(gtg)
KIJPFOIH_00013	CDS	840	speE	2.5.1.16	COG0421	Polyamine aminopropyltransferase
KIJPFOIH_00014	CDS	630				hypothetical protein
KIJPFOIH_00015	CDS	435	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
KIJPFOIH_00016	CDS	708	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
KIJPFOIH_00017	CDS	375	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
KIJPFOIH_00018	CDS	3084	sbcC			Nuclease SbcCD subunit C
KIJPFOIH_00019	CDS	1233	sbcD		COG0420	Nuclease SbcCD subunit D
KIJPFOIH_00020	CDS	837	nfo	3.1.21.2	COG0648	putative endonuclease 4
KIJPFOIH_00021	CDS	420	perR		COG0735	Transcriptional regulator PerR
KIJPFOIH_00022	CDS	1548	cshA	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshA
KIJPFOIH_00023	CDS	429				hypothetical protein
KIJPFOIH_00024	CDS	393				hypothetical protein
KIJPFOIH_00025	CDS	951				hypothetical protein
KIJPFOIH_00026	CDS	576				hypothetical protein
KIJPFOIH_00027	CDS	1485	aldA	1.2.1.3		Putative aldehyde dehydrogenase AldA
KIJPFOIH_00028	CDS	2313	yhgF		COG2183	Protein YhgF
KIJPFOIH_00029	CDS	495	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
KIJPFOIH_00030	CDS	792	thyA1	2.1.1.45	COG0207	Thymidylate synthase 1
KIJPFOIH_00031	CDS	1869	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
KIJPFOIH_00032	CDS	1488	opuE_1		COG0591	Osmoregulated proline transporter OpuE
KIJPFOIH_00033	CDS	1029				hypothetical protein
KIJPFOIH_00034	CDS	1617			COG0500	putative protein RP789
KIJPFOIH_00035	CDS	3537	por	1.2.7.1	COG0674	Pyruvate synthase
KIJPFOIH_00036	CDS	924	gltC			HTH-type transcriptional regulator GltC
KIJPFOIH_00037	CDS	420				hypothetical protein
KIJPFOIH_00038	CDS	618				hypothetical protein
KIJPFOIH_00039	CDS	1314	ttuB			Putative tartrate transporter
KIJPFOIH_00040	CDS	357			COG0662	Oxalate-binding protein
KIJPFOIH_00041	CDS	876				hypothetical protein
KIJPFOIH_00042	CDS	999				hypothetical protein
KIJPFOIH_00043	CDS	501				hypothetical protein
KIJPFOIH_00044	CDS	1548	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
KIJPFOIH_00045	CDS	966	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
KIJPFOIH_00046	CDS	270	citD		COG3052	Citrate lyase acyl carrier protein
KIJPFOIH_00047	CDS	1404	ybhI_1		COG0471	Inner membrane protein YbhI
KIJPFOIH_00048	CDS	912	cmpR			HTH-type transcriptional activator CmpR
KIJPFOIH_00049	CDS	744	ybhL		COG0670	Inner membrane protein YbhL
KIJPFOIH_00050	CDS	1749	pyk	2.7.1.40		Pyruvate kinase
KIJPFOIH_00051	CDS	3408	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
KIJPFOIH_00052	CDS	744				hypothetical protein
KIJPFOIH_00053	CDS	480				hypothetical protein
KIJPFOIH_00054	CDS	345				hypothetical protein
KIJPFOIH_00055	CDS	468				hypothetical protein
KIJPFOIH_00056	CDS	885				hypothetical protein
KIJPFOIH_00057	CDS	765				hypothetical protein
KIJPFOIH_00058	CDS	249				hypothetical protein
KIJPFOIH_00059	CDS	753				hypothetical protein
KIJPFOIH_00060	CDS	462	immR_1		COG1396	HTH-type transcriptional regulator ImmR
KIJPFOIH_00061	CDS	1305	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
KIJPFOIH_00062	CDS	975	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
KIJPFOIH_00063	CDS	1509	nasF	2.1.1.107	COG0007	Uroporphyrinogen-III C-methyltransferase
KIJPFOIH_00064	CDS	939	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
KIJPFOIH_00065	CDS	1272	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
KIJPFOIH_00066	CDS	648	cysG		COG0007	Siroheme synthase
KIJPFOIH_00067	CDS	786				hypothetical protein
KIJPFOIH_00068	CDS	795	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
KIJPFOIH_00069	CDS	498	sepF			Cell division protein SepF
KIJPFOIH_00070	CDS	687			COG0325	Pyridoxal phosphate homeostasis protein
KIJPFOIH_00071	CDS	855		1.10.3.-	COG1496	Polyphenol oxidase
