locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCPJDJBJ_00001	rRNA	2928				23S ribosomal RNA
NCPJDJBJ_00002	rRNA	109				5S ribosomal RNA
NCPJDJBJ_00003	tRNA	76				tRNA-Trp(cca)
NCPJDJBJ_00004	tRNA	77				tRNA-Arg(acg)
NCPJDJBJ_00005	CDS	279				hypothetical protein
NCPJDJBJ_00006	CDS	1701	srpC			Solvent efflux pump outer membrane protein SrpC
NCPJDJBJ_00007	CDS	1041				hypothetical protein
NCPJDJBJ_00008	CDS	1800	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
NCPJDJBJ_00009	CDS	1113	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
NCPJDJBJ_00010	CDS	1116	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
NCPJDJBJ_00011	tRNA	85				tRNA-Leu(tag)
NCPJDJBJ_00012	CDS	3297	mfd	3.6.4.-		Transcription-repair-coupling factor
NCPJDJBJ_00013	CDS	1608	spoVB_1		COG2244	Stage V sporulation protein B
NCPJDJBJ_00014	CDS	771	mazG	3.6.1.1	COG1694	Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG
NCPJDJBJ_00015	CDS	300	hupA		COG0776	DNA-binding protein HU 1
NCPJDJBJ_00016	CDS	1155	ugtP	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
NCPJDJBJ_00017	CDS	321				hypothetical protein
NCPJDJBJ_00018	CDS	2016	ettA		COG0488	Energy-dependent translational throttle protein EttA
NCPJDJBJ_00019	CDS	1470		1.12.7.2		Iron hydrogenase 1
NCPJDJBJ_00020	CDS	630				hypothetical protein
NCPJDJBJ_00021	CDS	999	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
NCPJDJBJ_00022	CDS	174				hypothetical protein
NCPJDJBJ_00023	CDS	1005	yclQ		COG4607	putative ABC transporter solute-binding protein YclQ
NCPJDJBJ_00024	CDS	747	fecE_1		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
NCPJDJBJ_00025	CDS	1008			COG0609	putative ABC transporter permease protein
NCPJDJBJ_00026	CDS	456	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
NCPJDJBJ_00027	CDS	276	ulaB	2.7.1.194		Ascorbate-specific PTS system EIIB component
NCPJDJBJ_00028	CDS	1140	ulaA		COG3037	Ascorbate-specific PTS system EIIC component
NCPJDJBJ_00029	CDS	396	ybaN		COG2832	Inner membrane protein YbaN
NCPJDJBJ_00030	CDS	891	melR			Melibiose operon regulatory protein
NCPJDJBJ_00031	CDS	5022	cirA_1		COG4771	Colicin I receptor
NCPJDJBJ_00032	CDS	5079	cirA_2		COG4771	Colicin I receptor
NCPJDJBJ_00033	CDS	618	exbB_1		COG0811	Biopolymer transport protein ExbB
NCPJDJBJ_00034	CDS	408	exbD_1		COG0848	Biopolymer transport protein ExbD
NCPJDJBJ_00035	CDS	801				hypothetical protein
NCPJDJBJ_00036	CDS	519				hypothetical protein
NCPJDJBJ_00037	CDS	1641	hemN_1	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein
NCPJDJBJ_00038	CDS	1005	yihV	2.7.1.184		Sulfofructose kinase
NCPJDJBJ_00039	CDS	1362	ktrB		COG0168	Ktr system potassium uptake protein B
NCPJDJBJ_00040	CDS	651	ktrA		COG0569	Ktr system potassium uptake protein A
NCPJDJBJ_00041	CDS	807				hypothetical protein
NCPJDJBJ_00042	CDS	1101				hypothetical protein
NCPJDJBJ_00043	CDS	1644				hypothetical protein
NCPJDJBJ_00044	CDS	678				hypothetical protein
NCPJDJBJ_00045	CDS	513	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
NCPJDJBJ_00046	CDS	486	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
NCPJDJBJ_00047	CDS	366				hypothetical protein
NCPJDJBJ_00048	CDS	930	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
NCPJDJBJ_00049	CDS	948	queG_1	1.17.99.6	COG1600	Epoxyqueuosine reductase
NCPJDJBJ_00050	CDS	1812	typA		COG1217	GTP-binding protein TypA/BipA
NCPJDJBJ_00051	CDS	720			COG5266	putative protein
NCPJDJBJ_00052	CDS	2244	prn_1		COG3468	Pertactin autotransporter
NCPJDJBJ_00053	CDS	459	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
NCPJDJBJ_00054	tRNA	75				tRNA-Arg(ccg)
NCPJDJBJ_00055	CDS	171				hypothetical protein
NCPJDJBJ_00056	CDS	237				hypothetical protein
NCPJDJBJ_00057	CDS	816	ubiG	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase
NCPJDJBJ_00058	CDS	348				hypothetical protein
NCPJDJBJ_00059	CDS	501	folT			Folate transporter FolT
NCPJDJBJ_00060	CDS	279				hypothetical protein
NCPJDJBJ_00061	CDS	1728	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase large subunit
NCPJDJBJ_00062	CDS	513	ilvH_1	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
NCPJDJBJ_00063	CDS	591	mtcA1_1	4.2.1.1	COG0288	Beta-carbonic anhydrase 1
NCPJDJBJ_00064	CDS	1323	phoA	3.1.3.1		Alkaline phosphatase
NCPJDJBJ_00065	CDS	1185	yxeP_1	3.-.-.-	COG1473	putative hydrolase YxeP
NCPJDJBJ_00066	CDS	1011	argF	2.1.3.3		Ornithine carbamoyltransferase
NCPJDJBJ_00067	CDS	951	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
NCPJDJBJ_00068	CDS	858	argB	2.7.2.8	COG0548	Acetylglutamate kinase
NCPJDJBJ_00069	CDS	1188	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
NCPJDJBJ_00070	CDS	183				hypothetical protein
NCPJDJBJ_00071	CDS	1179	yxeP_2	3.-.-.-	COG1473	putative hydrolase YxeP
NCPJDJBJ_00072	CDS	1194	ybjJ			Inner membrane protein YbjJ
NCPJDJBJ_00073	CDS	987	guaC	1.7.1.7	COG0516	GMP reductase
NCPJDJBJ_00074	CDS	531	thiT		COG3859	Thiamine transporter ThiT
NCPJDJBJ_00075	CDS	1125	mobA	2.7.7.77	COG0746	putative molybdenum cofactor guanylyltransferase
NCPJDJBJ_00076	CDS	1236	moeA	2.10.1.1		Molybdopterin molybdenumtransferase
NCPJDJBJ_00077	CDS	336				hypothetical protein
NCPJDJBJ_00078	CDS	279	pezT	2.7.1.176		Toxin PezT
NCPJDJBJ_00079	CDS	1023	soxS			Regulatory protein SoxS
NCPJDJBJ_00080	CDS	267				hypothetical protein
NCPJDJBJ_00081	CDS	870	adaA	2.1.1.-	COG2169	Bifunctional transcriptional activator/DNA repair enzyme AdaA
NCPJDJBJ_00082	CDS	903	ttdA_1	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
NCPJDJBJ_00083	CDS	612	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
NCPJDJBJ_00084	CDS	1269	sdcS_1		COG0471	Sodium-dependent dicarboxylate transporter SdcS
NCPJDJBJ_00085	CDS	1671	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
NCPJDJBJ_00086	CDS	618	fchA	3.5.4.9	COG3404	Methenyltetrahydrofolate cyclohydrolase
NCPJDJBJ_00087	CDS	1329	uacT_1		COG2233	Uric acid transporter UacT
NCPJDJBJ_00088	CDS	441				hypothetical protein
NCPJDJBJ_00089	CDS	966	moaA	4.1.99.22		GTP 3',8-cyclase
NCPJDJBJ_00090	CDS	234				hypothetical protein
NCPJDJBJ_00091	tRNA	76				tRNA-Lys(ctt)
NCPJDJBJ_00092	CDS	942	yfeX	1.11.1.-	COG2837	putative deferrochelatase/peroxidase YfeX
NCPJDJBJ_00093	CDS	1500	thrC	4.2.3.1	COG0498	Threonine synthase
NCPJDJBJ_00094	CDS	888	ribN			Riboflavin transporter
NCPJDJBJ_00095	CDS	1668	recF_1			DNA replication and repair protein RecF
NCPJDJBJ_00096	CDS	468	mscL		COG1970	Large-conductance mechanosensitive channel
NCPJDJBJ_00097	CDS	1050	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
NCPJDJBJ_00098	CDS	1689	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
NCPJDJBJ_00099	CDS	633				hypothetical protein
NCPJDJBJ_00100	CDS	567				hypothetical protein
NCPJDJBJ_00101	CDS	420			COG0716	Flavodoxin
NCPJDJBJ_00102	CDS	633	dauR		COG2964	Transcriptional regulator DauR
NCPJDJBJ_00103	CDS	1212	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
NCPJDJBJ_00104	CDS	1311	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
NCPJDJBJ_00105	CDS	1194	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
NCPJDJBJ_00106	CDS	936	arcC1	2.7.2.2		Carbamate kinase 1
NCPJDJBJ_00107	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
NCPJDJBJ_00108	CDS	1692	ygfK		COG0493	Putative oxidoreductase YgfK
NCPJDJBJ_00109	CDS	1350		3.5.2.-		D-hydantoinase
NCPJDJBJ_00110	CDS	2550	pucD	1.17.1.4	COG1529	putative xanthine dehydrogenase subunit D
NCPJDJBJ_00111	CDS	1386	uacT_2		COG2233	Uric acid transporter UacT
NCPJDJBJ_00112	CDS	1188	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
