locus_tag	ftype	length_bp	gene	EC_number	COG	product
OOCDCFJO_00001	CDS	1425	dnaA		COG0593	Chromosomal replication initiator protein DnaA
OOCDCFJO_00002	CDS	1113	dnaN			Beta sliding clamp
OOCDCFJO_00003	CDS	234	ybcJ		COG2501	putative protein YbcJ
OOCDCFJO_00004	CDS	1101	recF_1		COG1195	DNA replication and repair protein RecF
OOCDCFJO_00005	CDS	903				hypothetical protein
OOCDCFJO_00006	CDS	249				hypothetical protein
OOCDCFJO_00007	CDS	1902	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
OOCDCFJO_00008	CDS	1482	lysP		COG0833	Lysine-specific permease
OOCDCFJO_00009	CDS	318				hypothetical protein
OOCDCFJO_00010	CDS	3063	mdtC			Multidrug resistance protein MdtC
OOCDCFJO_00011	CDS	1065	macA_1		COG0845	Macrolide export protein MacA
OOCDCFJO_00012	CDS	1356				hypothetical protein
OOCDCFJO_00013	CDS	600				hypothetical protein
OOCDCFJO_00014	CDS	1170				hypothetical protein
OOCDCFJO_00015	CDS	2034				hypothetical protein
OOCDCFJO_00016	CDS	969	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
OOCDCFJO_00017	CDS	759				hypothetical protein
OOCDCFJO_00018	CDS	939			COG2990	putative protein
OOCDCFJO_00019	CDS	1221				hypothetical protein
OOCDCFJO_00020	CDS	1179				hypothetical protein
OOCDCFJO_00021	CDS	1440	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
OOCDCFJO_00022	CDS	1050	rfaF_1	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
OOCDCFJO_00023	CDS	1317				hypothetical protein
OOCDCFJO_00024	CDS	1401				hypothetical protein
OOCDCFJO_00025	CDS	1125	epsF	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
OOCDCFJO_00026	CDS	1071	rfaF_2	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
OOCDCFJO_00027	CDS	561	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
OOCDCFJO_00028	CDS	1482	hldE_1		COG2870	Bifunctional protein HldE
OOCDCFJO_00029	CDS	1212	fic	2.7.7.-	COG3177	Adenosine monophosphate-protein transferase SoFic
OOCDCFJO_00030	CDS	1077				hypothetical protein
OOCDCFJO_00031	CDS	327				hypothetical protein
OOCDCFJO_00032	CDS	2370	prn_1		COG3468	Pertactin autotransporter
OOCDCFJO_00033	CDS	102				hypothetical protein
OOCDCFJO_00034	CDS	1410	btaE_1			Autotransporter adhesin BtaE
OOCDCFJO_00035	CDS	1044				hypothetical protein
OOCDCFJO_00036	CDS	1431				hypothetical protein
OOCDCFJO_00037	CDS	969	omp-alpha			Outer membrane protein alpha
OOCDCFJO_00038	CDS	8433	upaG_1			Autotransporter adhesin UpaG
OOCDCFJO_00039	CDS	645				hypothetical protein
OOCDCFJO_00040	CDS	1875	btaE_2			Autotransporter adhesin BtaE
OOCDCFJO_00041	CDS	3627	ata_1			Adhesin Ata autotransporter
OOCDCFJO_00042	CDS	645				hypothetical protein
OOCDCFJO_00043	CDS	267				hypothetical protein
OOCDCFJO_00044	CDS	6216	ehaG_1		COG5295	Autotransporter adhesin EhaG
OOCDCFJO_00045	CDS	9426	upaG_2			Autotransporter adhesin UpaG
OOCDCFJO_00046	CDS	9579	ata_2			Adhesin Ata autotransporter
OOCDCFJO_00047	CDS	750				hypothetical protein
OOCDCFJO_00048	rRNA	1561				16S ribosomal RNA
OOCDCFJO_00049	rRNA	2929				23S ribosomal RNA
OOCDCFJO_00050	rRNA	109				5S ribosomal RNA
OOCDCFJO_00051	CDS	372				hypothetical protein
OOCDCFJO_00052	CDS	1176	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
OOCDCFJO_00053	CDS	612	tolQ		COG0811	Protein TolQ
OOCDCFJO_00054	CDS	405				hypothetical protein
OOCDCFJO_00055	CDS	753				hypothetical protein
OOCDCFJO_00056	CDS	2454	cirA_1		COG4771	Colicin I receptor
OOCDCFJO_00057	CDS	1023	yclQ_1		COG4607	putative ABC transporter solute-binding protein YclQ
OOCDCFJO_00058	CDS	1047	hmuU_1		COG0609	Hemin transport system permease protein HmuU
OOCDCFJO_00059	CDS	762	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
OOCDCFJO_00060	CDS	1941	cirA_2		COG4771	Colicin I receptor
OOCDCFJO_00061	CDS	1983	cirA_3		COG4771	Colicin I receptor
OOCDCFJO_00062	CDS	954	yfmC		COG4594	Fe(3+)-citrate-binding protein YfmC
OOCDCFJO_00063	CDS	1038	hmuU_2		COG0609	Hemin transport system permease protein HmuU
OOCDCFJO_00064	CDS	846	yusV_1		COG1120	putative siderophore transport system ATP-binding protein YusV
OOCDCFJO_00065	CDS	930	bchI	6.6.1.1	COG1239	Magnesium-chelatase 38 kDa subunit
OOCDCFJO_00066	CDS	2028			COG1239	putative protein
OOCDCFJO_00067	CDS	3624	cobN	6.6.1.2		Aerobic cobaltochelatase subunit CobN
OOCDCFJO_00068	CDS	912				hypothetical protein
OOCDCFJO_00069	CDS	1869	btuB		COG4206	Vitamin B12 transporter BtuB
OOCDCFJO_00070	CDS	1323	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
OOCDCFJO_00071	CDS	462				hypothetical protein
OOCDCFJO_00072	CDS	1308		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
OOCDCFJO_00073	CDS	279	fixX		COG2440	Ferredoxin-like protein FixX
OOCDCFJO_00074	CDS	990	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
OOCDCFJO_00075	CDS	1002	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
OOCDCFJO_00076	CDS	759	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
OOCDCFJO_00077	CDS	762		1.-.-.-	COG1028	putative oxidoreductase
OOCDCFJO_00078	CDS	588				hypothetical protein
OOCDCFJO_00079	CDS	1068	nikB		COG0601	Nickel transport system permease protein NikB
OOCDCFJO_00080	CDS	810	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
