locus_tag	ftype	length_bp	gene	EC_number	COG	product
KLGEOPEO_00001	CDS	1518	dnaA			Chromosomal replication initiator protein DnaA
KLGEOPEO_00002	CDS	1113	dnaN			Beta sliding clamp
KLGEOPEO_00003	CDS	234	ybcJ		COG2501	putative protein YbcJ
KLGEOPEO_00004	CDS	1101	recF_1		COG1195	DNA replication and repair protein RecF
KLGEOPEO_00005	CDS	903				hypothetical protein
KLGEOPEO_00006	CDS	249				hypothetical protein
KLGEOPEO_00007	CDS	1902	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
KLGEOPEO_00008	CDS	1482	lysP		COG0833	Lysine-specific permease
KLGEOPEO_00009	CDS	318				hypothetical protein
KLGEOPEO_00010	CDS	390				hypothetical protein
KLGEOPEO_00011	CDS	498				hypothetical protein
KLGEOPEO_00012	CDS	426				hypothetical protein
KLGEOPEO_00013	CDS	249				hypothetical protein
KLGEOPEO_00014	CDS	3063	czcA			Cobalt-zinc-cadmium resistance protein CzcA
KLGEOPEO_00015	CDS	1065	macA_1		COG0845	Macrolide export protein MacA
KLGEOPEO_00016	CDS	1365				hypothetical protein
KLGEOPEO_00017	CDS	600				hypothetical protein
KLGEOPEO_00018	CDS	1110				hypothetical protein
KLGEOPEO_00019	CDS	1980				hypothetical protein
KLGEOPEO_00020	CDS	756				hypothetical protein
KLGEOPEO_00021	CDS	2022	ltaS1		COG1368	Lipoteichoic acid synthase 1
KLGEOPEO_00022	CDS	1086	pimA	2.4.1.345	COG0438	Phosphatidyl-myo-inositol mannosyltransferase
KLGEOPEO_00023	CDS	945			COG2990	putative protein
KLGEOPEO_00024	CDS	1200				hypothetical protein
KLGEOPEO_00025	CDS	1437	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
KLGEOPEO_00026	CDS	1101	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
KLGEOPEO_00027	CDS	1005	ycfT		COG4763	Inner membrane protein YcfT
KLGEOPEO_00028	CDS	1617				hypothetical protein
KLGEOPEO_00029	CDS	762				hypothetical protein
KLGEOPEO_00030	CDS	1092	epsF	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
KLGEOPEO_00031	CDS	1002				hypothetical protein
KLGEOPEO_00032	CDS	798				hypothetical protein
KLGEOPEO_00033	CDS	720	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
KLGEOPEO_00034	CDS	1509				hypothetical protein
KLGEOPEO_00035	CDS	921		5.1.3.2	COG1088	UDP-glucose 4-epimerase
KLGEOPEO_00036	CDS	1056	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
KLGEOPEO_00037	CDS	327				hypothetical protein
KLGEOPEO_00038	CDS	102				hypothetical protein
KLGEOPEO_00039	CDS	2214	prn_1		COG3468	Pertactin autotransporter
KLGEOPEO_00040	CDS	102				hypothetical protein
KLGEOPEO_00041	CDS	2379	prn_2		COG3468	Pertactin autotransporter
KLGEOPEO_00042	CDS	570				hypothetical protein
KLGEOPEO_00043	CDS	1380	btaE_1			Autotransporter adhesin BtaE
KLGEOPEO_00044	CDS	1044				hypothetical protein
KLGEOPEO_00045	CDS	2796	omp-alpha			Outer membrane protein alpha
KLGEOPEO_00046	CDS	1659			COG0500	putative protein RP789
KLGEOPEO_00047	CDS	7749	upaG_1			Autotransporter adhesin UpaG
KLGEOPEO_00048	CDS	789				hypothetical protein
KLGEOPEO_00049	CDS	10074	upaG_2			Autotransporter adhesin UpaG
KLGEOPEO_00050	CDS	801				hypothetical protein
KLGEOPEO_00051	CDS	885				hypothetical protein
KLGEOPEO_00052	rRNA	1560				16S ribosomal RNA
KLGEOPEO_00053	rRNA	2928				23S ribosomal RNA
KLGEOPEO_00054	rRNA	109				5S ribosomal RNA
KLGEOPEO_00055	CDS	276				hypothetical protein
KLGEOPEO_00056	CDS	375				hypothetical protein
KLGEOPEO_00057	CDS	372				hypothetical protein
KLGEOPEO_00058	CDS	1290	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
KLGEOPEO_00059	CDS	1317	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
KLGEOPEO_00060	CDS	270				hypothetical protein
KLGEOPEO_00061	CDS	462				hypothetical protein
KLGEOPEO_00062	CDS	1308		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
KLGEOPEO_00063	CDS	279	fixX		COG2440	Ferredoxin-like protein FixX
KLGEOPEO_00064	CDS	987	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
KLGEOPEO_00065	CDS	1002	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
KLGEOPEO_00066	CDS	759	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
KLGEOPEO_00067	CDS	603				hypothetical protein
KLGEOPEO_00068	CDS	594				hypothetical protein
KLGEOPEO_00069	CDS	951	nikB		COG0601	Nickel transport system permease protein NikB
KLGEOPEO_00070	CDS	810	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
KLGEOPEO_00071	CDS	1524	ddpA_1		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
KLGEOPEO_00072	CDS	768	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
KLGEOPEO_00073	CDS	741	nikE	3.6.3.24		Nickel import ATP-binding protein NikE
KLGEOPEO_00074	CDS	303				hypothetical protein
KLGEOPEO_00075	CDS	747		1.-.-.-		putative oxidoreductase
KLGEOPEO_00076	CDS	234				hypothetical protein
KLGEOPEO_00077	CDS	1896				hypothetical protein
KLGEOPEO_00078	CDS	474				hypothetical protein
KLGEOPEO_00079	CDS	465				hypothetical protein
KLGEOPEO_00080	CDS	348				hypothetical protein
KLGEOPEO_00081	CDS	282				hypothetical protein
KLGEOPEO_00082	CDS	633				hypothetical protein
KLGEOPEO_00083	CDS	1119				hypothetical protein
KLGEOPEO_00084	CDS	408				hypothetical protein
KLGEOPEO_00085	CDS	1539	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
KLGEOPEO_00086	CDS	1260	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
KLGEOPEO_00087	CDS	492	DmdB	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
KLGEOPEO_00088	CDS	1071	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
KLGEOPEO_00089	CDS	330	qacC			Quaternary ammonium compound-resistance protein QacC
KLGEOPEO_00090	CDS	540	niaX			Niacin transporter NiaX
