locus_tag	ftype	length_bp	gene	EC_number	COG	product
INMOBPFL_00001	CDS	129				hypothetical protein
INMOBPFL_00002	CDS	717	ydfK		COG1811	putative membrane protein YdfK
INMOBPFL_00003	CDS	285	higB-1		COG3549	Toxin HigB-1
INMOBPFL_00004	CDS	321	ybaQ		COG3093	putative HTH-type transcriptional regulator YbaQ
INMOBPFL_00005	CDS	354	mgsR		COG1393	Regulatory protein MgsR
INMOBPFL_00006	CDS	774				hypothetical protein
INMOBPFL_00007	CDS	1323	glpT		COG2271	Glycerol-3-phosphate transporter
INMOBPFL_00008	CDS	414	ctpC_1	3.6.3.-	COG2217	putative manganese/zinc-exporting P-type ATPase
INMOBPFL_00009	CDS	591	fbiB_1	6.3.2.31	COG0778	Coenzyme F420:L-glutamate ligase
INMOBPFL_00010	CDS	519	ohrR			Organic hydroperoxide resistance transcriptional regulator
INMOBPFL_00011	CDS	399				hypothetical protein
INMOBPFL_00012	CDS	771				hypothetical protein
INMOBPFL_00013	CDS	627				hypothetical protein
INMOBPFL_00014	CDS	234				hypothetical protein
INMOBPFL_00015	CDS	1146		3.2.1.52		Beta-hexosaminidase A
INMOBPFL_00016	CDS	1152	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
INMOBPFL_00017	CDS	1545	clcA_1		COG0038	H(+)/Cl(-) exchange transporter ClcA
INMOBPFL_00018	CDS	450				hypothetical protein
INMOBPFL_00019	CDS	795	yfcA_1		COG0730	putative membrane transporter protein YfcA
INMOBPFL_00020	CDS	2823			COG0247	putative protein
INMOBPFL_00021	CDS	648	ycf3			Photosystem I assembly protein Ycf3
INMOBPFL_00022	CDS	411				hypothetical protein
INMOBPFL_00023	CDS	900				hypothetical protein
INMOBPFL_00024	CDS	897	rarD		COG2962	Protein RarD
INMOBPFL_00025	CDS	2163	scpA_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
INMOBPFL_00026	CDS	2190	mutB_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
INMOBPFL_00027	CDS	1254	argK	3.6.5.-	COG1703	GTPase ArgK
INMOBPFL_00028	CDS	891				hypothetical protein
INMOBPFL_00029	CDS	258				hypothetical protein
INMOBPFL_00030	CDS	195				hypothetical protein
INMOBPFL_00031	CDS	606	tolQ_1		COG0811	Protein TolQ
INMOBPFL_00032	CDS	405	exbD_1		COG0848	Biopolymer transport protein ExbD
