locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAEGBGHB_00001	CDS	1620	dnaA			Chromosomal replication initiator protein DnaA
KAEGBGHB_00002	CDS	1122	dnaN			Beta sliding clamp
KAEGBGHB_00003	CDS	231				hypothetical protein
KAEGBGHB_00004	CDS	1101	recF_1		COG1195	DNA replication and repair protein RecF
KAEGBGHB_00005	CDS	903				hypothetical protein
KAEGBGHB_00006	CDS	252				hypothetical protein
KAEGBGHB_00007	CDS	1902	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
KAEGBGHB_00008	CDS	1485	lysP		COG0833	Lysine-specific permease
KAEGBGHB_00009	CDS	318				hypothetical protein
KAEGBGHB_00010	CDS	3063	czcA			Cobalt-zinc-cadmium resistance protein CzcA
KAEGBGHB_00011	CDS	1065	srpA			Solvent efflux pump periplasmic linker SrpA
KAEGBGHB_00012	CDS	165				hypothetical protein
KAEGBGHB_00013	CDS	1350				hypothetical protein
KAEGBGHB_00014	CDS	600				hypothetical protein
KAEGBGHB_00015	CDS	696				hypothetical protein
KAEGBGHB_00016	CDS	1935				hypothetical protein
KAEGBGHB_00017	CDS	759	sunS	2.4.1.-	COG0463	SPBc2 prophage-derived glycosyltransferase SunS
KAEGBGHB_00018	CDS	1128				hypothetical protein
KAEGBGHB_00019	CDS	930				hypothetical protein
KAEGBGHB_00020	CDS	1038	rfaQ_1	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
KAEGBGHB_00021	CDS	657	vatD	2.3.1.-		Streptogramin A acetyltransferase
KAEGBGHB_00022	CDS	1173	pglH_1	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
KAEGBGHB_00023	CDS	1179				hypothetical protein
KAEGBGHB_00024	CDS	582				hypothetical protein
KAEGBGHB_00025	CDS	1179	pglH_2	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
KAEGBGHB_00026	CDS	2013				hypothetical protein
KAEGBGHB_00027	CDS	729				hypothetical protein
KAEGBGHB_00028	CDS	504				putative protein
KAEGBGHB_00029	CDS	492				hypothetical protein
KAEGBGHB_00030	CDS	813		3.1.3.-		Putative phosphatase
KAEGBGHB_00031	CDS	912	yvcJ		COG1660	Nucleotide-binding protein YvcJ
KAEGBGHB_00032	CDS	1350			COG0391	Gluconeogenesis factor
KAEGBGHB_00033	CDS	948	whiA		COG1481	Putative sporulation transcription regulator WhiA
KAEGBGHB_00034	CDS	2682				hypothetical protein
KAEGBGHB_00035	CDS	951	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
KAEGBGHB_00036	CDS	1287	pyrC	3.5.2.3	COG0044	Dihydroorotase
KAEGBGHB_00037	CDS	1068	carA_1	6.3.5.5		Carbamoyl-phosphate synthase small chain
KAEGBGHB_00038	CDS	3201	carB	6.3.5.5		Carbamoyl-phosphate synthase large chain
KAEGBGHB_00039	CDS	768	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
KAEGBGHB_00040	CDS	948	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
KAEGBGHB_00041	CDS	891	cynR_1			HTH-type transcriptional regulator CynR
KAEGBGHB_00042	CDS	189				hypothetical protein
KAEGBGHB_00043	CDS	651	yigZ		COG1739	IMPACT family member YigZ
