locus_tag	ftype	length_bp	gene	EC_number	COG	product
OCALDCFI_00001	rRNA	2928				23S ribosomal RNA
OCALDCFI_00002	rRNA	110				5S ribosomal RNA
OCALDCFI_00003	CDS	372				hypothetical protein
OCALDCFI_00004	CDS	1173	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
OCALDCFI_00005	CDS	612	tolQ_1		COG0811	Protein TolQ
OCALDCFI_00006	CDS	405				hypothetical protein
OCALDCFI_00007	CDS	753				hypothetical protein
OCALDCFI_00008	CDS	2451	cirA_1		COG4771	Colicin I receptor
OCALDCFI_00009	CDS	1023	fatB			Ferric-anguibactin-binding protein FatB
OCALDCFI_00010	CDS	1047	hmuU_1		COG0609	Hemin transport system permease protein HmuU
OCALDCFI_00011	CDS	762	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
OCALDCFI_00012	CDS	1941	cirA_2		COG4771	Colicin I receptor
OCALDCFI_00013	CDS	1983	cirA_3		COG4771	Colicin I receptor
OCALDCFI_00014	CDS	954	yfmC_1		COG4594	Fe(3+)-citrate-binding protein YfmC
OCALDCFI_00015	CDS	1038	hmuU_2		COG0609	Hemin transport system permease protein HmuU
OCALDCFI_00016	CDS	846	yusV_1		COG1120	putative siderophore transport system ATP-binding protein YusV
OCALDCFI_00017	CDS	930	bchI	6.6.1.1	COG1239	Magnesium-chelatase 38 kDa subunit
OCALDCFI_00018	CDS	2028			COG1239	putative protein
OCALDCFI_00019	CDS	3624	cobN	6.6.1.2		Aerobic cobaltochelatase subunit CobN
OCALDCFI_00020	CDS	912	yfmC_2		COG4594	Fe(3+)-citrate-binding protein YfmC
OCALDCFI_00021	CDS	1869	btuB		COG4206	Vitamin B12 transporter BtuB
OCALDCFI_00022	CDS	1323	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
OCALDCFI_00023	CDS	462				hypothetical protein
OCALDCFI_00024	CDS	1308		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
OCALDCFI_00025	CDS	279	fixX		COG2440	Ferredoxin-like protein FixX
