locus_tag	ftype	length_bp	gene	EC_number	COG	product
KBOCBMGA_00001	CDS	1518	dnaA			Chromosomal replication initiator protein DnaA
KBOCBMGA_00002	CDS	1113	dnaN			Beta sliding clamp
KBOCBMGA_00003	CDS	234	ybcJ		COG2501	putative protein YbcJ
KBOCBMGA_00004	CDS	1101	recF_1		COG1195	DNA replication and repair protein RecF
KBOCBMGA_00005	CDS	903				hypothetical protein
KBOCBMGA_00006	CDS	249				hypothetical protein
KBOCBMGA_00007	CDS	1902	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
KBOCBMGA_00008	CDS	1482	lysP		COG0833	Lysine-specific permease
KBOCBMGA_00009	CDS	318				hypothetical protein
KBOCBMGA_00010	CDS	408	hxlR		COG1733	HTH-type transcriptional activator HxlR
KBOCBMGA_00011	CDS	810				hypothetical protein
KBOCBMGA_00012	CDS	3063	czcA			Cobalt-zinc-cadmium resistance protein CzcA
KBOCBMGA_00013	CDS	1065	macA_1		COG0845	Macrolide export protein MacA
KBOCBMGA_00014	CDS	1365				hypothetical protein
KBOCBMGA_00015	CDS	627				hypothetical protein
KBOCBMGA_00016	CDS	1191				hypothetical protein
KBOCBMGA_00017	CDS	1980				hypothetical protein
KBOCBMGA_00018	CDS	759				hypothetical protein
KBOCBMGA_00019	CDS	759	pglI	2.4.1.293	COG0463	GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
KBOCBMGA_00020	CDS	1086	pimA	2.4.1.345	COG0438	Phosphatidyl-myo-inositol mannosyltransferase
KBOCBMGA_00021	CDS	945			COG2990	putative protein
KBOCBMGA_00022	CDS	1131				hypothetical protein
KBOCBMGA_00023	CDS	1488	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
KBOCBMGA_00024	CDS	948				hypothetical protein
KBOCBMGA_00025	CDS	1104	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
KBOCBMGA_00026	CDS	771				hypothetical protein
KBOCBMGA_00027	CDS	1065	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
KBOCBMGA_00028	CDS	1146	epsF	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
KBOCBMGA_00029	CDS	1914				hypothetical protein
KBOCBMGA_00030	CDS	1245	rfbX		COG2244	Putative O-antigen transporter
KBOCBMGA_00031	CDS	663				hypothetical protein
KBOCBMGA_00032	CDS	1311				hypothetical protein
KBOCBMGA_00033	CDS	411				hypothetical protein
KBOCBMGA_00034	CDS	327				hypothetical protein
KBOCBMGA_00035	CDS	102				hypothetical protein
KBOCBMGA_00036	CDS	2226	prn_1		COG3468	Pertactin autotransporter
KBOCBMGA_00037	CDS	102				hypothetical protein
KBOCBMGA_00038	CDS	2409	prn_2		COG3468	Pertactin autotransporter
KBOCBMGA_00039	CDS	570				hypothetical protein
KBOCBMGA_00040	CDS	1380	btaE			Autotransporter adhesin BtaE
KBOCBMGA_00041	CDS	1041				hypothetical protein
KBOCBMGA_00042	CDS	2772	omp-alpha			Outer membrane protein alpha
KBOCBMGA_00043	CDS	1566			COG0500	putative protein RP789
KBOCBMGA_00044	CDS	8940	upaG_1			Autotransporter adhesin UpaG
KBOCBMGA_00045	CDS	789				hypothetical protein
KBOCBMGA_00046	CDS	11460	upaG_2			Autotransporter adhesin UpaG
KBOCBMGA_00047	CDS	801				hypothetical protein
KBOCBMGA_00048	rRNA	1560				16S ribosomal RNA
KBOCBMGA_00049	rRNA	2928				23S ribosomal RNA
